ADM0NAME,TotalCases,NewCases,TotalDeaths,NewDeaths,SvnDaysIncidence_Latest,Cases_7Days,Deaths_7Days
Austria,872822,9894,11183,16,567.6,50526,101
Belgium,1414463,0,26131,0,286.9,33060,101
Bulgaria,631506,2826,25005,65,438.3,30471,1087
Croatia,501327,4159,9500,50,763.4,30979,280
Czech Republic,1816161,5766,31022,37,497.2,53175,245
Denmark,400145,2097,2735,10,238.6,13894,22
Germany,4767033,23543,96525,37,203.8,169483,796
Estonia,205096,948,1610,12,837.3,11127,79
Finland,162476,0,1185,0,58.2,3214,1
France,7208937,9605,117900,25,71.9,48389,229
Greece,780621,6356,16243,43,384.1,41173,349
Hungary,892164,0,31184,0,294.2,28745,455
Ireland,465958,3685,5492,0,449.7,22327,56
Italy,4802225,6760,132365,31,58.3,34785,291
Lithuania,427118,2234,6111,27,658.6,18403,238
Luxembourg,82842,0,849,0,150.5,942,5
Latvia,230569,1888,3472,28,693.5,13230,238
Malta,37856,41,462,0,42.2,217,1
Monaco,3436,2,36,0,51,20,0
Netherlands,2189661,12024,18553,36,378.6,65905,156
Poland,3104220,12507,77757,24,208.1,78973,758
Portugal,1096534,1197,18198,5,64.5,6646,42
Romania,1706882,5293,50755,273,304.5,58851,3004
Spain,5022547,0,87477,0,16.1,7598,33
Slovakia,518635,5338,13229,24,638.7,34862,195
Slovenia,353660,3662,5127,0,928.6,19463,18
Sweden,1177094,0,15057,0,44.8,4629,11
United Kingdom,9272066,30150,141743,155,371.4,252104,1185
