country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source
Austria,AUT,Europe,8901064,cases,0,2020-01,0,0,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,0,2020-02,0,0,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,0,2020-03,0,0,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,0,2020-04,0,0,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,0,2020-05,0,0,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,0,2020-06,0,0,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,0,2020-07,0,0,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,0,2020-08,0,0,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,12,2020-09,0.134815343424112,12,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,114,2020-10,1.41556110595318,126,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,874,2020-11,11.0997966085852,1000,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,3068,2020-12,44.2868403148208,4068,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,5128,2020-13,92.0788795586685,9196,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,3116,2020-14,92.6181409323649,12312,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,1838,2020-15,55.6562676102542,14150,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,684,2020-16,28.3336913429675,14834,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,448,2020-17,12.7175807296746,15282,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,312,2020-18,8.53830508352709,15594,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,264,2020-19,6.47113648435738,15858,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,335,2020-20,6.72953255925359,16193,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,265,2020-21,6.7407671712056,16458,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,195,2020-22,5.16792149792429,16653,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,227,2020-23,4.74100624374794,16880,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,172,2020-24,4.48261016885172,17052,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,248,2020-25,4.71853701984392,17300,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,335,2020-26,6.54977876802144,17635,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,641,2020-27,10.9649812651611,18276,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,596,2020-28,13.8972149846355,18872,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,784,2020-29,15.5037644937729,19656,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,872,2020-30,18.6045173925275,20528,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,794,2020-31,18.7168635120476,21322,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,722,2020-32,17.0316717192462,22044,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,1462,2020-33,24.5363925031884,23506,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,1907,2020-34,37.8494076663194,25413,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,1941,2020-35,43.2307867913319,27354,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,2268,2020-36,47.2864817060073,29622,TESSy COVID-19
Austria,AUT,Europe,8901064,cases,3997,2020-37,70.3848438793385,33619,TESSy COVID-19
