,pais,ctry_code,date,tot_vacunas,vacunas_dia,day,month,year,ctgios,deaths,ctry_name,poblacion
1,Austria,AUT,2021-03-02,741452.0,20011.0,2,3,2021,1148,22,Austria,8901064
2,Austria,AUT,2021-03-03,769749.0,21196.0,3,3,2021,1926,15,Austria,8901064
3,Austria,AUT,2021-03-04,797543.0,22282.0,4,3,2021,2497,17,Austria,8901064
4,Austria,AUT,2021-03-05,835086.0,23415.0,5,3,2021,2691,21,Austria,8901064
5,Austria,AUT,2021-03-06,863321.0,23844.0,6,3,2021,2319,16,Austria,8901064
6,Austria,AUT,2021-03-07,875331.0,24102.0,7,3,2021,2846,18,Austria,8901064
7,Austria,AUT,2021-03-08,887102.0,24496.0,8,3,2021,2281,26,Austria,8901064
8,Austria,AUT,2021-03-09,915776.0,24903.0,9,3,2021,1965,18,Austria,8901064
9,Austria,AUT,2021-03-10,944967.0,25031.0,10,3,2021,2194,18,Austria,8901064
10,Austria,AUT,2021-03-11,990015.0,27496.0,11,3,2021,2847,21,Austria,8901064
11,Austria,AUT,2021-03-12,1049047.0,30566.0,12,3,2021,2847,19,Austria,8901064
12,Austria,AUT,2021-03-13,1101689.0,34053.0,13,3,2021,3009,25,Austria,8901064
13,Austria,AUT,2021-03-14,1132927.0,36799.0,14,3,2021,3325,25,Austria,8901064
14,Austria,AUT,2021-03-15,1154205.0,38158.0,15,3,2021,2664,27,Austria,8901064
15,Austria,AUT,2021-03-16,1183026.0,38179.0,16,3,2021,1910,25,Austria,8901064
16,Austria,AUT,2021-03-17,1217902.0,38991.0,17,3,2021,2487,24,Austria,8901064
17,Austria,AUT,2021-03-18,1253069.0,37579.0,18,3,2021,2814,22,Austria,8901064
18,Austria,AUT,2021-03-19,1307520.0,36925.0,19,3,2021,3507,32,Austria,8901064
19,Austria,AUT,2021-03-20,1355205.0,36217.0,20,3,2021,3304,24,Austria,8901064
20,Austria,AUT,2021-03-21,1370839.0,33987.0,21,3,2021,4051,30,Austria,8901064
21,Austria,AUT,2021-03-22,1387016.0,33259.0,22,3,2021,2918,20,Austria,8901064
22,Austria,AUT,2021-03-23,1423342.0,34331.0,23,3,2021,2306,27,Austria,8901064
23,Austria,AUT,2021-03-24,1463521.0,35088.0,24,3,2021,2715,30,Austria,8901064
24,Austria,AUT,2021-03-25,1510177.0,36730.0,25,3,2021,3262,18,Austria,8901064
25,Austria,AUT,2021-03-26,1561821.0,36329.0,26,3,2021,3516,23,Austria,8901064
26,Austria,AUT,2021-03-27,1603600.0,35485.0,27,3,2021,3487,30,Austria,8901064
27,Austria,AUT,2021-03-28,1618330.0,35356.0,28,3,2021,3896,25,Austria,8901064
28,Austria,AUT,2021-03-29,1645268.0,36893.0,29,3,2021,2667,23,Austria,8901064
29,Austria,AUT,2021-03-30,1687068.0,37675.0,30,3,2021,3240,28,Austria,8901064
30,Austria,AUT,2021-03-31,1722684.0,37023.0,31,3,2021,2810,31,Austria,8901064
31,Austria,AUT,2021-04-01,1765126.0,36421.0,1,4,2021,3107,25,Austria,8901064
32,Austria,AUT,2021-04-02,1809580.0,35394.0,2,4,2021,3058,28,Austria,8901064
33,Austria,AUT,2021-04-03,1831533.0,32562.0,3,4,2021,3077,30,Austria,8901064
34,Austria,AUT,2021-04-04,1841683.0,31908.0,4,4,2021,3693,34,Austria,8901064
35,Austria,AUT,2021-04-05,1854354.0,29869.0,5,4,2021,2915,26,Austria,8901064
36,Austria,AUT,2021-04-06,1892916.0,29407.0,6,4,2021,2268,39,Austria,8901064
37,Austria,AUT,2021-04-07,1949213.0,32361.0,7,4,2021,2077,28,Austria,8901064
38,Austria,AUT,2021-04-08,2022703.0,36797.0,8,4,2021,3006,22,Austria,8901064
39,Austria,AUT,2021-04-09,2101983.0,41772.0,9,4,2021,3052,36,Austria,8901064
40,Austria,AUT,2021-04-10,2167835.0,48043.0,10,4,2021,2432,31,Austria,8901064
41,Austria,AUT,2021-04-11,2193955.0,50325.0,11,4,2021,3559,35,Austria,8901064
42,Austria,AUT,2021-04-12,2229363.0,53573.0,12,4,2021,2139,26,Austria,8901064
43,Austria,AUT,2021-04-13,2274947.0,54576.0,13,4,2021,1770,26,Austria,8901064
44,Austria,AUT,2021-04-14,2343137.0,56275.0,14,4,2021,2032,28,Austria,8901064
45,Austria,AUT,2021-04-15,2418183.0,56497.0,15,4,2021,2855,29,Austria,8901064
46,Austria,AUT,2021-04-16,2489148.0,55309.0,16,4,2021,2561,33,Austria,8901064
47,Austria,AUT,2021-04-17,2547482.0,54235.0,17,4,2021,2348,26,Austria,8901064
48,Austria,AUT,2021-04-18,2566821.0,53267.0,18,4,2021,2591,28,Austria,8901064
49,Austria,AUT,2021-04-19,2598889.0,52789.0,19,4,2021,2159,31,Austria,8901064
50,Austria,AUT,2021-04-20,2644772.0,52832.0,20,4,2021,1792,23,Austria,8901064
51,Austria,AUT,2021-04-21,2708606.0,52210.0,21,4,2021,2005,21,Austria,8901064
52,Austria,AUT,2021-04-22,2780124.0,51706.0,22,4,2021,2377,42,Austria,8901064
53,Austria,AUT,2021-04-23,2848967.0,51403.0,23,4,2021,2347,18,Austria,8901064
54,Austria,AUT,2021-04-24,2889495.0,48859.0,24,4,2021,2407,27,Austria,8901064
55,Austria,AUT,2021-04-25,2917548.0,50104.0,25,4,2021,2231,13,Austria,8901064
56,Austria,AUT,2021-04-26,2948727.0,49977.0,26,4,2021,2091,23,Austria,8901064
57,Austria,AUT,2021-04-27,2997311.0,50363.0,27,4,2021,1380,16,Austria,8901064
58,Austria,AUT,2021-04-28,3056262.0,49665.0,28,4,2021,1557,22,Austria,8901064
59,Austria,AUT,2021-04-29,3133081.0,50422.0,29,4,2021,2286,20,Austria,8901064
60,Austria,AUT,2021-04-30,3214539.0,52225.0,30,4,2021,1995,27,Austria,8901064
61,Austria,AUT,2021-05-01,3256783.0,52470.0,1,5,2021,2231,21,Austria,8901064
62,Austria,AUT,2021-05-02,3273574.0,50861.0,2,5,2021,1655,15,Austria,8901064
63,Austria,AUT,2021-05-03,3303239.0,50645.0,3,5,2021,1732,24,Austria,8901064
64,Austria,AUT,2021-05-04,3365069.0,52537.0,4,5,2021,888,25,Austria,8901064
65,Austria,AUT,2021-05-05,3443711.0,55350.0,5,5,2021,1297,16,Austria,8901064
66,Austria,AUT,2021-05-06,3542001.0,58417.0,6,5,2021,1682,22,Austria,8901064
67,Austria,AUT,2021-05-07,3651888.0,62478.0,7,5,2021,1220,14,Austria,8901064
68,Austria,AUT,2021-05-08,3704755.0,63996.0,8,5,2021,1383,16,Austria,8901064
69,Austria,AUT,2021-05-09,3723725.0,64307.0,9,5,2021,1251,18,Austria,8901064
70,Austria,AUT,2021-05-10,3767505.0,66324.0,10,5,2021,1009,9,Austria,8901064
71,Austria,AUT,2021-05-11,3834225.0,67022.0,11,5,2021,670,17,Austria,8901064
72,Austria,AUT,2021-05-12,3935713.0,70286.0,12,5,2021,968,13,Austria,8901064
73,Austria,AUT,2021-05-13,3970117.0,61159.0,13,5,2021,1179,6,Austria,8901064
74,Austria,AUT,2021-05-14,4061106.0,58460.0,14,5,2021,1100,21,Austria,8901064
75,Austria,AUT,2021-05-15,4121693.0,59563.0,15,5,2021,721,11,Austria,8901064
76,Austria,AUT,2021-05-16,4146043.0,60331.0,16,5,2021,684,6,Austria,8901064
77,Austria,AUT,2021-05-17,4193857.0,60907.0,17,5,2021,676,12,Austria,8901064
78,Austria,AUT,2021-05-18,4264411.0,61455.0,18,5,2021,391,9,Austria,8901064
79,Austria,AUT,2021-05-19,4371097.0,62198.0,19,5,2021,630,8,Austria,8901064
80,Austria,AUT,2021-05-20,4483084.0,73281.0,20,5,2021,866,12,Austria,8901064
81,Austria,AUT,2021-05-21,4595677.0,76367.0,21,5,2021,603,2,Austria,8901064
82,Austria,AUT,2021-05-22,4655280.0,76227.0,22,5,2021,671,6,Austria,8901064
83,Austria,AUT,2021-05-23,4684975.0,76990.0,23,5,2021,626,10,Austria,8901064
84,Austria,AUT,2021-05-24,4710145.0,73755.0,24,5,2021,520,7,Austria,8901064
85,Austria,AUT,2021-05-25,4765770.0,71623.0,25,5,2021,342,9,Austria,8901064
86,Austria,AUT,2021-05-26,4859414.0,69760.0,26,5,2021,287,5,Austria,8901064
87,Austria,AUT,2021-05-27,4959610.0,68075.0,27,5,2021,405,6,Austria,8901064
88,Austria,AUT,2021-05-28,5070768.0,67870.0,28,5,2021,639,9,Austria,8901064
89,Austria,AUT,2021-05-29,5133692.0,68345.0,29,5,2021,538,6,Austria,8901064
90,Austria,AUT,2021-05-30,5172102.0,69590.0,30,5,2021,570,8,Austria,8901064
91,Austria,AUT,2021-05-31,5216491.0,72335.0,31,5,2021,366,5,Austria,8901064
