ID,Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange,Latitude,Longitude,ISO2,ISO3,Country_Region,AdminRegion1,AdminRegion2
1111128,03/24/2020,3010,539,113,26,71,5,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
1302918,03/25/2020,3406,396,134,21,77,6,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
1402546,03/26/2020,3793,387,144,10,92,15,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
1539968,03/27/2020,4277,484,175,31,139,47,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
1775975,03/28/2020,4682,405,207,32,148,9,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
1785749,03/29/2020,5405,723,236,29,155,7,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
2316506,03/30/2020,6392,987,308,72,182,27,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
2610292,03/31/2020,6392,0,308,0,182,0,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
3030991,04/01/2020,6972,580,343,35,228,46,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
3033379,04/02/2020,7374,402,376,33,258,30,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
3371683,04/03/2020,7869,495,426,50,463,205,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
3398719,04/04/2020,7869,0,426,0,665,202,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
3952669,04/05/2020,8581,712,491,65,798,133,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
4272329,04/06/2020,8767,186,528,37,900,102,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
4249237,04/07/2020,8767,0,528,0,,,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
4463705,04/08/2020,8997,230,605,77,1193,,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
4717730,04/09/2020,9261,264,671,66,652,-541,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5007505,04/10/2020,9712,451,737,66,1630,978,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5116287,04/11/2020,10006,294,799,62,1838,208,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5259273,04/13/2020,10187,91,815,8,2032,97,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5305273,04/14/2020,10192,5,836,21,2224,192,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5317747,04/15/2020,10595,403,865,29,,,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5384746,04/16/2020,10807,212,912,47,2634,,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5433704,04/17/2020,11053,246,940,28,2634,0,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5440637,04/18/2020,11053,0,940,0,,,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5454483,04/19/2020,11205,152,993,53,3116,,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5466395,04/20/2020,11447,242,1005,12,,,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5486410,04/21/2020,11447,0,1017,12,3411,,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
5521503,04/22/2020,11610,163,1050,33,3569,158,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
6889560,04/23/2020,12495,885,1078,28,1107,-2462,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
6889392,04/24/2020,12495,0,1107,29,3992,2885,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
6969081,04/26/2020,11774,-721,1145,38,4741,749,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
7014322,04/27/2020,12498,3,1145,38,4890,898,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
7066668,04/28/2020,12501,3,1168,23,5039,149,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
7522819,04/29/2020,12504,3,1187,19,5272,233,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
8001765,04/30/2020,12507,3,1207,20,5710,438,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
8476354,05/01/2020,12510,3,1222,15,6334,624,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
8918803,05/02/2020,12513,3,1238,16,6821,487,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
9386546,05/03/2020,12516,3,1256,18,6897,76,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
9861826,05/04/2020,12519,3,1263,7,7230,333,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
10304693,05/05/2020,12522,3,1267,4,7679,449,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
10775315,05/06/2020,12525,3,1281,14,7679,0,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
11284123,05/07/2020,12528,3,1294,13,8076,397,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
11775693,05/08/2020,12531,3,1301,7,8435,359,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
12225368,05/09/2020,12534,3,1317,16,8779,344,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
12673422,05/10/2020,12537,3,1319,2,9020,241,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
13151118,05/11/2020,12540,3,1322,3,9297,277,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
13610845,05/12/2020,12543,3,1326,4,9297,0,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
14063278,05/13/2020,12546,3,1332,6,9481,184,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
14845483,05/14/2020,12549,3,1344,12,10148,667,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
14920156,05/15/2020,12552,3,1347,3,10148,0,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
15333836,05/16/2020,12556,4,1350,3,10319,171,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
15764877,05/17/2020,12560,4,1354,4,10611,292,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
16188691,05/18/2020,12564,4,1358,4,10611,0,37.45824,-4.56819,ES,ESP,Spain,Andalusia,
