location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million
Austria,AUT,2020-12-27,752,752,,,,0,0.01,0.01,,,
Austria,AUT,2020-12-28,2075,2075,,,1323,1323,0.02,0.02,,,146
Austria,AUT,2020-12-29,3728,3728,,,1653,1488,0.04,0.04,,,165
Austria,AUT,2020-12-30,5112,5112,,,1384,1453,0.06,0.06,,,161
Austria,AUT,2020-12-31,5126,5126,,,14,1094,0.06,0.06,,,121
Austria,AUT,2021-01-01,5135,5135,,,9,877,0.06,0.06,,,97
Austria,AUT,2021-01-02,5147,5147,,,12,732,0.06,0.06,,,81
Austria,AUT,2021-01-03,5156,5156,,,9,629,0.06,0.06,,,70
Austria,AUT,2021-01-04,5286,5286,,,130,459,0.06,0.06,,,51
Austria,AUT,2021-01-05,7092,7092,,,1806,481,0.08,0.08,,,53
Austria,AUT,2021-01-06,7956,7956,,,864,406,0.09,0.09,,,45
Austria,AUT,2021-01-07,11250,11250,,,3294,875,0.12,0.12,,,97
Austria,AUT,2021-01-08,24487,24487,,,13237,2765,0.27,0.27,,,306
Austria,AUT,2021-01-09,29015,29015,,,4528,3410,0.32,0.32,,,377
Austria,AUT,2021-01-10,31258,31258,,,2243,3729,0.35,0.35,,,412
Austria,AUT,2021-01-11,36956,36956,,,5698,4524,0.41,0.41,,,500
Austria,AUT,2021-01-12,51971,51971,,,15015,6411,0.57,0.57,,,709
Austria,AUT,2021-01-13,68119,68119,,,16148,8595,0.75,0.75,,,950
Austria,AUT,2021-01-14,85096,85096,,,16977,10549,0.94,0.94,,,1167
Austria,AUT,2021-01-15,103672,103672,,,18576,11312,1.15,1.15,,,1251
Austria,AUT,2021-01-16,110565,110553,12,,6893,11650,1.22,1.22,0.0,,1288
Austria,AUT,2021-01-17,116288,115894,394,,5723,12147,1.29,1.28,0.0,,1343
Austria,AUT,2021-01-18,127765,126469,1296,,11477,12973,1.41,1.4,0.01,,1435
Austria,AUT,2021-01-19,154021,151227,2794,,26256,14579,1.7,1.67,0.03,,1612
Austria,AUT,2021-01-20,177729,173616,4112,1,23708,15659,1.97,1.92,0.05,0.0,1732
Austria,AUT,2021-01-21,197735,193449,4285,1,20006,16091,2.19,2.14,0.05,0.0,1779
Austria,AUT,2021-01-22,209355,204478,4876,1,11620,15098,2.32,2.26,0.05,0.0,1670
Austria,AUT,2021-01-23,212515,207636,4878,1,3160,14564,2.35,2.3,0.05,0.0,1611
Austria,AUT,2021-01-24,213788,208898,4889,1,1273,13929,2.36,2.31,0.05,0.0,1540
Austria,AUT,2021-01-25,215318,210313,5004,1,1530,12508,2.38,2.33,0.06,0.0,1383
Austria,AUT,2021-01-26,224083,218160,5922,1,8765,10009,2.48,2.41,0.07,0.0,1107
Austria,AUT,2021-01-27,232171,225714,6456,1,8088,7777,2.57,2.5,0.07,0.0,860
